"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"09.03.2026";"AK000063";"1g";"120,90";"X2";"";"";"";"";""
"09.03.2026";"AK000062";"0,5g";"250,19";"X1 enthält 19,99 Euro Versandkosten";"";"";"";"";""
"09.03.2026";"AK000061";"1g";"87,10";"welt";"";"";"";"";""
"09.03.2026";"AK000060";"1g";"100,50";"xxx";"";"";"";"";""
"09.03.2026";"AK000059";"";"12876,90";"DDD";"";"";"";"";""
"09.03.2026";"AK000058";"0,5g";"120,00";"BBB";"";"";"";"";""
"09.03.2026";"AK000057";"1g";"78,90";"AAA";"";"";"";"";""
"09.03.2026";"AK000056";"";"12362,23";"Uhr Bemerkung 1";"";"";"";"";""
"09.03.2026";"AK000055";"2g";"67,90";"Bemerkung2";"";"";"";"";""
"09.03.2026";"AK000054";"1g";"128,90";"";"";"";"";"";""
"01.03.2026";"AK000053";"";"12343,00";"";"";"";"";"";""
"01.03.2026";"AK000052";"";"182,00";"";"";"";"";"";""
"01.03.2026";"TG012062";"";"8877,00";"";"";"";"";"";""
"13.08.2019";"TG000007";"";"2000,00";"";"";"";"";"";""
"19.08.2021";"TG000862";"";"1600,00";"";"";"";"";"";""
"22.12.2021";"TG000002";"";"775,00";"";"";"";"";"";""
"14.02.2022";"TG000031";"";"122,00";"";"05.06.2025";"135,00";"";"13,00";"13872"
"04.03.2022";"TG000043";"";"125,00";"";"05.05.2025";"130,00";"";"5,00";"13409"
"09.05.2022";"TG000801";"";"73,99";"";"02.12.2025";"332,81";"";"258,82";"17524"
"04.12.2022";"TG002474";"";"351,00";"";"";"";"";"";""
"15.12.2022";"TG002460";"";"257,69";"";"";"";"";"";""
"18.12.2022";"TG002471";"";"141,00";"";"31.07.2025";"390,00";"";"249,00";"14694"
"15.03.2023";"TG011672";"";"234,33";"";"16.06.2025";"421,00";"Retoure";"186,67";"14034"
"18.03.2023";"TG011567";"";"45,00";"";"02.06.2025";"65,00";"";"20,00";"13831"
"26.03.2023";"TG011653";"";"93,00";"";"";"";"";"";""
"15.05.2023";"TG011672";"";"234,33";"";"21.12.2025";"346,50";"";"112,17";"18190"
"22.05.2023";"TG011572";"";"25,50";"";"15.10.2025";"49,00";"";"23,50";"15744"
"23.05.2023";"TG011573";"";"89,00";"";"16.05.2025";"138,00";"";"49,00";"13570"
"27.05.2023";"TG011556";"";"45,50";"";"07.03.2025";"65,10";"";"19,60";"12704"
"27.05.2023";"TG011555";"";"123,00";"";"";"";"";"";""
"30.05.2023";"TG011779";"";"69,00";"";"14.07.2025";"80,00";"";"11,00";"14465"
"30.05.2023";"TG011774";"";"51,00";"";"27.12.2025";"121,78";"";"70,78";"18277"
"30.05.2023";"TG011754";"";"69,00";"";"";"";"";"";""
"30.05.2023";"TG011719";"";"108,00";"";"15.03.2025";"150,00";"";"42,00";"12798"
"30.05.2023";"TG011627";"";"45,00";"";"";"";"";"";""
"31.05.2023";"TG011772";"";"53,00";"";"28.03.2025";"100,00";"";"47,00";"13016"
"31.05.2023";"TG011692";"";"56,00";"";"";"";"";"";""
"03.06.2023";"TG011782";"";"45,00";"";"28.07.2025";"50,00";"";"5,00";"14612"
"03.06.2023";"TG011749";"";"93,00";"";"26.12.2025";"171,82";"";"78,82";"18320"
"03.06.2023";"TG011713";"";"32,00";"";"25.12.2024";"45,20";"";"13,20";"11210"
"04.06.2023";"TG011793";"";"45,00";"";"";"";"";"";""
"07.06.2023";"TG011776";"";"56,00";"";"04.12.2025";"117,00";"";"61,00";"17636"
"08.06.2023";"TG011806";"";"140,00";"";"12.05.2025";"199,00";"";"59,00";"13529"
"08.06.2023";"TG011787";"";"67,00";"";"";"";"";"";""
"08.06.2023";"TG011729";"";"47,00";"";"13.12.2024";"59,00";"";"12,00";""
"09.06.2023";"TG011718";"";"93,00";"";"02.11.2025";"140,00";"";"47,00";"16438"
"10.06.2023";"TG011703";"";"72,00";"";"";"";"";"";""
"10.06.2023";"TG011700";"";"87,00";"";"19.12.2025";"179,10";"";"92,10";"18129"
"11.06.2023";"TG011704";"";"63,00";"";"28.02.2025";"80,00";"";"17,00";"12683"
"11.06.2023";"TG011693";"";"35,00";"";"";"";"";"";""
"11.06.2023";"TG011676";"";"116,00";"";"27.12.2024";"122,00";"";"6,00";"11302"
"11.06.2023";"TG011673";"";"80,00";"";"13.12.2024";"130,00";"";"50,00";""
"12.06.2023";"TG011775";"";"209,00";"";"";"";"";"";""
"12.06.2023";"TG011771";"";"108,00";"";"";"";"";"";""
"12.06.2023";"TG011767";"";"77,00";"";"11.05.2025";"120,00";"";"43,00";"13512"
"12.06.2023";"TG011751";"";"105,01";"";"25.04.2025";"150,00";"";"44,99";"13358"
"14.06.2023";"TG011780";"";"77,00";"";"";"";"";"";""
"14.06.2023";"TG011752";"";"133,00";"";"08.05.2025";"140,00";"";"7,00";"13482"
"15.06.2023";"TG011815";"";"56,00";"";"10.12.2025";"119,07";"";"63,07";"17847"
"17.06.2023";"TG011822";"";"143,00";"";"31.01.2025";"229,00";"";"86,00";"12320"
"17.06.2023";"TG011819";"";"145,80";"";"06.01.2025";"299,00";"";"153,20";"18364"
"18.06.2023";"TG011817";"";"239,00";"";"14.07.2025";"245,00";"";"6,00";"14465"
"18.06.2023";"TG011816";"";"174,00";"";"05.02.2025";"203,00";"";"29,00";"12138"
"19.06.2023";"TG011811";"";"48,50";"";"01.02.2024";"72,00";"";"23,50";"11363"
"19.06.2023";"TG011808";"";"23,00";"";"";"";"";"";""
"26.06.2023";"TG011826";"";"53,00";"";"30.05.2025";"55,00";"";"2,00";"13821"
"28.06.2023";"TG011839";"";"42,01";"";"";"";"";"";""
"29.06.2023";"TG011837";"";"41,00";"";"28.02.2025";"55,00";"";"14,00";"12685"
"29.06.2023";"TG011836";"";"70,01";"";"16.12.2025";"101,84";"";"31,83";"18067"
"03.07.2023";"TG011852";"";"49,99";"";"";"";"";"";""
"27.07.2023";"TG011876";"";"19,60";"";"23.11.2025";"52,00";"";"32,40";"17127"
"10.08.2023";"TG011856";"";"43,50";"";"30.05.2025";"45,00";"";"1,50";"13822"
"16.08.2023";"TG011899";"";"55,99";"";"30.05.2025";"87,00";"";"31,01";"13824"
"18.08.2023";"TG011877";"";"43,00";"";"";"";"";"";""
"20.08.2023";"TG011865";"";"170,00";"";"";"";"";"";""
"20.08.2023";"TG011864";"";"199,00";"";"02.02.2026";"44,39";"";"-154,61";"18467"
"20.08.2023";"TG011863";"";"149,00";"";"02.09.2025";"160,00";"";"11,00";"15115"
"21.08.2023";"TG011917";"";"58,00";"";"";"";"";"";""
"22.08.2023";"TG011907";"";"41,51";"";"16.12.2025";"84,28";"";"42,77";"18057"
"27.08.2023";"TG011890";"";"117,00";"";"";"";"";"";""
"27.08.2023";"TG011885";"";"57,00";"";"21.12.2024";"105,09";"";"48,99";"11139"
"27.08.2023";"TG011873";"";"99,00";"";"24.07.2025";"95,90";"";"-3,10";"14582"
"28.08.2023";"TG011905";"";"18,50";"";"15.12.2025";"64,12";"";"45,62";"18032"
"14.01.2024";"TG011934";"";"571,00";"";"31.05.2025";"599,99";"";"28,00";"13763"
"15.01.2024";"TG011938";"";"71,00";"";"27.11.2024";"190,00";"";"119,00";""
"15.01.2024";"TG011936";"";"199,00";"";"";"";"";"";""
"16.01.2024";"TG011940";"";"151,00";"";"31.05.2025";"159,00";"";"8,00";"13763"
"17.03.2024";"TG011965";"";"25,01";"";"";"";"";"";""
"17.03.2024";"TG011964";"";"60,01";"";"25.11.2025";"110,00";"";"49,99";"17229"
"18.03.2024";"TG011966";"";"50,01";"";"";"";"";"";""
"18.03.2024";"TG011962";"";"20,01";"";"";"";"";"";""
"18.03.2024";"TG011961";"";"69,00";"";"";"";"";"";""
"21.03.2024";"TG011960";"";"67,00";"";"";"";"";"";""
"24.03.2024";"TG011959";"";"97,09";"";"";"";"";"";""
"14.04.2024";"TG000488";"";"334,00";"";"16.01.2025";"296,00";"";"";"11680"
"16.04.2024";"TG011967";"";"60,00";"";"24.11.2025";"159,84";"";"99,83";"17186"
"25.04.2024";"TG011978";"";"33,50";"";"30.05.2025";"34,00";"";"0,50";"13812"
"04.05.2024";"TG011974";"";"80,01";"";"05.06.2025";"108,00";"";"27,99";"13872"
"05.05.2024";"TG011975";"";"33,50";"";"03.01.2026";"170,10";"";"136,60";"18360"
"22.05.2024";"TG011987";"";"45,50";"";"26.11.2025";"110,00";"";"64,50";"17240"
"22.05.2024";"TG011986";"";"79,00";"";"";"";"";"";""
"22.05.2024";"TG011985";"";"44,50";"";"";"";"";"";""
"22.05.2024";"TG011984";"";"25,48";"";"";"";"";"";""
"23.05.2024";"TG011983";"";"78,77";"";"";"";"";"";""
"09.06.2024";"TG011993";"";"20,70";"";"24.08.2025";"79,00";"";"58,30";"14998"
"22.06.2024";"TG011982";"";"64,00";"";"30.05.2025";"90,00";"";"26,00";"13823"
